"Lower Chance Farm SU58_89","Malthouse SU48_34","Calvesleys Farm SU57_159","Woodend SU57_155","Ashridge Wood SU47_140","Briff Lane SU56_119","Mayfield Farm SU57_158","The Barracks SU48_71","Compton Shepherds Hill SU57_154","Marlston Farm SU57_161","Bottom Barn SU57_153","Beenham SU56_220","Hartridge Farm SU57_39","Bere Court Farm SU67_84","comp","D"
0.0705135915323559,0.0107462086973987,0.11685393258427,0,0.0938526966943745,0.46677074041035,0.0550678186547754,0.0762608563157091,0,0.746635610766046,0.0979751796211626,0.526209677419355,0,0.217241379310345,0.177009120857582,1990-01-01
0.384441905220111,0.469518931405041,0.371535580524345,0.281431334622824,0.325826406340614,0.636515016354446,0.252949646971386,0.342621514551272,0.253884400248601,0.878881987577641,0.344872632266492,0.651209677419356,0.163066385669126,0.385057471264369,0.410129492173973,1990-02-01
0.660331970170796,0.725494626895651,0.465917602996255,0.546905222437137,0.530253237966364,0.721751412429379,0.540017651430695,0.41642541520646,0.505593536357986,0.892080745341616,0.596995427824951,0.588709677419355,0.429399367755532,NA,0.586144299556321,1990-03-01
0.698941544382969,0.670784372803053,0.467505617977528,0.640618955512572,0.529711965977189,0.714362176628012,0.604422147900409,0.365534054548225,0.589310130515849,0.857971014492754,0.573481384715872,NA,0.406743940990516,0.504597701149425,0.586460385199567,1990-04-01
0.655220110656724,0.564678115898363,0.408838951310862,0.642005157962604,0.480185578967717,0.679081177520072,0.531772575250837,0.310623952460765,0.574580484773152,0.833074534161491,0.528412802090136,0.465725806451613,0.347207586933614,0.432183908045977,0.532399338748852,1990-05-01
0.58756314649988,0.473912825148137,0.328539325842697,0.536266924564797,0.386042915136285,0.62756467439786,0.492405239687848,0.271674539082736,0.489434431323803,0.802018633540373,0.478118876551273,0.334677419354839,0.287671232876712,0.389655172413793,0.46325323974436,1990-06-01
0.507096463796007,0.379833283117405,0.259325842696629,0.453513862024501,0.214846317417359,0.556586381207256,0.430044593088071,0.227944537559043,0.413424487259168,0.77432712215321,NA,0.310483870967743,0.219704952581665,0.327586206896552,0.390362916981893,1990-07-01
0.428193408708203,0.29087576579291,0.213782771535581,0.372501611863314,0.142470520007732,0.494350282485876,0.369774247491639,0.192632942252018,0.334369173399627,0.736801242236026,0.327237099934683,0.254032258064517,0.164383561643835,0.257471264367816,0.327062582127413,1990-08-01
0.349891748857349,0.219443607512303,0.173752808988764,0.340167633784655,0.0954958438043688,0.424620874219448,0.27833519137867,0.162197165930215,0.282908638906153,0.687991718426501,0.270411495754409,0.239919354838711,0.128556375131718,0.222988505747127,0.276905783091457,1990-09-01
0.263260764974741,0.143994174952295,0.143220973782772,0.292714377820761,0.0543205103421607,0.366859946476361,0.16353121516165,0.135208746000305,0.224052206339342,0.643892339544514,0.209340300457217,0.271169354838711,0.0922023182297151,0.194252873563219,0.228430007320269,1990-10-01
0.0825414962713497,0.026949214957651,0.111610486891386,0.155867182462927,0,0.346045197740113,0.112551096246749,0.0743562395246071,0.114356743318831,0.612318840579711,0.132593076420639,0.127016129032259,0.057692307692308,0.16896551724138,0.151633109169994,1990-11-01
0.0478710608611984,0,0.0692434456928841,0.135267569310122,0.0673368129389778,0.298067201903063,0.0587142326272759,0,0.0678682411435674,0.560455486542443,NA,0,NA,0.148275862068966,0.121091659424042,1990-12-01
0.0240558094779893,0,0.074606741573034,0.129754996776274,0.0677556543591726,0.346565566458521,0.0368357487922708,0.000838031388084388,0.0581106277190804,0.625776397515528,0.0522534291312865,0.368951612903227,0,0.141379310344828,0.137634566174235,1991-01-01
0.0142831368775558,0,0.0773033707865172,0.1428110896196,0.0778078484438426,0.339280404400833,0.0125650315867706,0.0109325003809231,0.0610627719080176,0.616459627329193,0.099934683213586,0.383064516129033,0,0.159770114942529,0.142519649687029,1991-02-01
0.0215299494828003,0.0183288138997695,0.101722846441948,0.157833655705997,0.0982408660351826,0.377163247100804,0,0.062471430748133,0.0706028589185828,0.649482401656315,0.130633572828217,0.385080645161291,0,0.167816091954023,0.16006474142379,1991-03-01
0.0700625451046431,0.062167319473737,0.114157303370787,0.196808510638297,0.129035375990721,0.360615521855487,0.0376486436269047,0.129971049824775,0.108452454940957,0.639233954451347,0.169823644676682,0.475806451612903,0.036354056902002,0.182758620689656,0.193778246654207,1991-04-01
0.115618234303584,0.163201767600683,0.124794007490637,0.223726627981947,0.15687222114827,0.355932203389831,0.0723708658491264,0.179014932195642,0.139683032939714,0.625,0.199869366427172,0.453629032258064,0.0584826132771334,0.196551724137931,0.218910473499981,1991-05-01
0.13074332451287,0.197599678618058,0.120059925093633,0.230560928433268,0.160564469360139,0.337198929527209,0.0905797101449271,0.190461679110163,0.14816656308266,0.596687370600415,0.19921619856303,0.447580645161291,0.0642781875658584,0.185057471264369,0.221339648645564,1991-06-01
0.149597065191244,0.190820528271568,0.103370786516854,0.223887814313346,0.144210322830079,0.312637526018437,0.0881642512077293,0.172729696785007,0.1452765692977,0.575569358178054,0.158719790986283,0.389112903225808,0.0521601685985249,0.168390804597701,0.205331970429881,1991-07-01
0.139523694972336,0.15516721904188,0.0841947565543072,0.21067053513862,0.124589213222501,0.272152839726436,0.114176885916016,0.149207679414901,0.139216904909882,0.549171842650104,NA,NA,NA,NA,0.193807157154698,1991-08-01
