"D","Quickset Road TL44_287","Redlands Hall TL44_014","Arkesden TL43_008","Field Farm TL54_011","Arkesden Village TL43_7","Bordeaux Farm TL54_018","Brick  Kiln Barns TL53_007","Woodside Quendon TL53_003","Mitchells Farm TL54_029","Elsenham Nurseries TL52_002","Abrams Lane TL44_019","The Oaks TL53_021","Hertford Lane TL44_288","Coploe Hill TL44_301","Building End TL43_054","Coploe Road TL44_286","Lower Pond Street TL43_058","comp"
1990-01-01,0.332366589327146,0.26126878130217,0.608860759493671,0.336817653890824,0.391824526420738,0.387832699619773,0.487378640776699,0.967930029154519,0.561797752808988,0.481818181818182,0.332417582417582,0.506493506493507,0.26090169992609,0.258575197889182,0.610009442870633,0.421717171717172,0.60531914893617,0.459607609697826
1990-02-01,0.490719257540603,0.549248747913189,0.763291139240506,0.520325203252032,0.548354935194416,0.627376425855512,0.706796116504855,0.976676384839651,0.685393258426965,0.534545454545456,1,0.667532467532467,0.429416112342942,0.411609498680739,0.835694050991502,0.588383838383838,0.772340425531915,0.653394312751564
1990-03-01,0.538863109048724,0.598080133555926,0.689873417721519,0.516840882694541,0.59222333000997,0.627376425855512,0.563106796116505,0.845481049562682,0.657303370786517,0.581818181818182,0.771978021978021,0.703896103896104,0.492239467849224,0.465699208443272,0.75070821529745,0.606060606060606,0.803191489361701,0.635572930003321
1990-04-01,0.553364269141531,0.547579298831386,0.531645569620253,0.435540069686411,0.493519441674975,0.574144486692014,0.442718446601941,0.67930029154519,0.685393258426965,0.59090909090909,0.564102564102564,0.657142857142857,0.514781966001478,0.432717678100264,0.692162417374882,0.547979797979798,0.787234042553192,0.572366796846164
1990-05-01,NA,0.487479131886477,NA,0.362369337979094,0.382851445663011,0.50190114068441,0.36504854368932,0.626822157434401,0.674157303370784,0.572727272727273,0.454212454212454,0.576623376623376,0.500369549150037,0.386543535620052,0.663833805476865,0.499999999999999,NA,0.503924218179825
1990-06-01,0.469257540603248,0.331385642737896,NA,0.262485481997677,0.298105682951147,0.384030418250949,0.285436893203883,0.536443148688049,0.685393258426965,0.532727272727273,0.293956043956043,0.475324675324677,0.411677753141168,0.281002638522428,0.594900849858356,0.611111111111111,0.677659574468085,0.44568112412306
1990-07-01,0.415893271461717,0.269616026711185,0.272151898734177,0.180023228803717,0.245264207377867,0.29277566539924,0.248543689320387,0.463556851311955,0.685393258426965,0.490909090909091,0.251831501831502,0.329870129870131,0.342572062084257,0.203166226912929,0.553352219074598,0.618686868686869,0.608510638297872,0.380712755012615
1990-08-01,0.343967517401392,0.204507512520868,0.215189873417722,0.156794425087108,0.205383848454636,0.1787072243346,0.180582524271845,0.434402332361515,0.685393258426965,0.621818181818182,0.209706959706959,0.303896103896104,0.285291943828529,0.16622691292876,0.493862134088763,0.227272727272727,0.572340425531916,0.322667288549917
1990-09-01,0.294663573085847,0.142320534223706,0.191139240506329,0.0929152148664344,0.169491525423729,0.136882129277566,0.172815533980583,0.379008746355685,0.713483146067413,0.430909090909091,0.176739926739926,0.275324675324676,0.219512195121951,0.116094986807388,0.452313503305005,0.169191919191919,0.508510638297872,0.273018622322654
1990-10-01,0.340487238979118,NA,0.224050632911393,0.0754936120789777,0.163509471585244,0.106463878326997,0.141747572815533,NA,0.685393258426965,0.392727272727274,0.144688644688645,0.249350649350649,0.175166297117517,0.0923482849604225,0.42681775259679,0.212121212121211,0.464893617021277,0.259683959713868
1990-11-01,0.233178654292343,0.0872287145242071,0.208860759493671,0.046457607433217,0.17048853439681,0.0532319391634983,0.0873786407766982,0.259475218658893,0.51685393258427,0.336363636363637,0.124542124542124,0.212987012987013,0.146341463414634,0.0686015831134568,0.383380547686497,0.194444444444445,0.452127659574468,0.210702498438228
1990-12-01,0.230278422273782,0.0730383973288815,0.168354430379747,0.05458768873403,0.128614157527418,0,0.0310679611650479,NA,0.404494382022471,0.305454545454546,0.083333333333333,0.200000000000001,0.120473022912047,0.0633245382585757,0.359773371104816,0.333333333333333,0.381914893617021,0.183627654840316
