"D","Podmore 1022GW","Broughton Hall 1032GW","Bishops Offley 1030GW","Shelton under Harley 1043GW","comp"
1990-01-01,0.510328068043743,0.481540930979133,0.393700787401572,0.472644376899696,0.464553540831036
1990-02-01,0.761846901579586,0.50561797752809,0.488188976377952,0.484802431610942,0.560114071774143
1990-03-01,0.752126366950183,0.542536115569825,0.535433070866143,0.425531914893617,0.563906867069942
1990-04-01,0.601458080194411,0.540930979133227,0.527559055118107,0.48936170212766,0.539827454143351
1990-05-01,0.53827460510328,0.409309791332263,0.480314960629917,0.463525835866261,0.47285629823293
1990-06-01,0.386391251518834,0.357945425361156,0.433070866141738,0.452887537993922,0.407573770253912
1990-07-01,0.291616038882139,0.264847512038524,NA,0.420972644376901,0.325812065099188
1990-08-01,0.218712029161603,0.377207062600322,0.314960629921262,0.39209726443769,0.325744246530219
1990-09-01,0.161603888213851,0.383627608346709,0.291338582677167,0.376899696048633,0.30336744382159
1990-10-01,0.0972053462940458,0.335473515248796,0.283464566929131,0.340425531914895,0.264142240096717
1990-11-01,0.098420413122722,0.182985553772071,0.220472440944881,0.326747720364743,0.207156532051104
1990-12-01,0.0607533414337788,0.213483146067415,0.259842519685047,0.322188449848025,0.214066864258567
1991-01-01,0.285540704738762,0.20545746388443,0.291338582677167,0.351063829787234,0.283350145271898
1991-02-01,0.545565006075333,0.0834670947030491,0.370078740157488,0.370820668693009,0.34248287740722
1991-03-01,0.667071688942891,0.0690208667736768,0.338582677165357,0.36322188449848,0.359474279345101
1991-04-01,0.667071688942891,0.0577849117174959,0.362204724409452,0.335866261398178,0.355731896617004
1991-05-01,0.572296476306196,0.0626003210272874,0.362204724409452,0.314589665653497,0.327922796849108
1991-06-01,0.44228432563791,0.0256821829855532,0.330708661417322,0.29483282674772,0.273376999197126
1991-07-01,0.495747266099635,0,0.283464566929131,0.282674772036474,0.26547165126631
1991-08-01,NA,0.441412520064205,0.244094488188976,0.273556231003039,0.31968774641874
1991-09-01,0.356014580801943,0.280898876404494,0.181102362204726,0.253799392097265,0.267953802877107
1991-10-01,0.201701093560145,0.409309791332263,0.157480314960631,0.237082066869301,0.251393316680585
1991-11-01,0.157958687727825,0.231139646869983,0.165354330708666,0.206686930091185,0.190284898849415
1991-12-01,0.121506682867558,0.378812199036918,0.118110236220476,0.186930091185411,0.201339802327591
1992-01-01,0.266099635479951,0.252006420545747,0.133858267716536,0.177811550151976,0.207443968473553
1992-02-01,0.48359659781288,0.340288924558588,0.125984251968511,0.167173252279637,0.279260756654904
1992-03-01,0.402187120291616,0.245585874799358,0.11023622047244,0.155015197568391,0.228256103282951
1992-04-01,0.760631834750912,0.277688603531301,0.0944881889763808,0.139817629179332,0.318156564109481
1992-05-01,0.679222357229646,0.296950240770467,0.118110236220476,0.139817629179332,0.30852511584998
1992-06-01,0.546780072904011,0.293739967897271,0.102362204724416,0.121580547112462,0.26611569815954
1992-07-01,0.537059538274605,0.319422150882826,0.102362204724416,0.104863221884498,0.265926778941586
1992-08-01,0.381530984204131,0.282504012841092,0.0708661417322856,0.0911854103343478,0.206521637277964
1992-09-01,0.347509113001215,0.298555377207062,0.0866141732283453,0.0896656534954413,0.205586079233016
1992-10-01,0.360874848116646,0.218298555377207,0.102362204724416,0.0744680851063844,0.189000923331163
1992-11-01,0.492102065613608,0.184590690208669,0.149606299212607,0.0638297872340428,0.222532210567232
1992-12-01,0.906439854191979,0.226324237560192,0.338582677165357,0.0987841945288763,0.392532740861601
1993-01-01,0.789793438639127,0.239165329052971,0.417322834645667,0.127659574468086,0.393485294201462
1993-02-01,0.880923450789795,0.252006420545747,0.425196850393702,0.132218844984803,0.422586391678512
1993-03-01,0.737545565006076,0.250401284109149,0.440944881889762,0.132218844984803,0.390277643997448
1993-04-01,0.609963547995139,0.287319422150884,0.409448818897643,0.106382978723405,0.353278691941767
1993-05-01,0.582017010935602,0.285714285714286,0.370078740157488,0.100303951367781,0.334528497043789
1993-06-01,0.546780072904011,0.221508828250403,0.322834645669297,0.0714285714285713,0.290638029563071
1993-07-01,0.618469015795867,0.317817014446228,0.330708661417322,0.0683890577507603,0.333845937352544
1993-08-01,0.493317132442283,0.272873194221509,0.307086614173226,0.0623100303951363,0.283896742808039
1993-09-01,0.488456865127581,0.36115569823435,0.236220472440952,0.0592705167173253,0.286275888130052
1993-10-01,0.382746051032807,0.354735152487963,0.251968503937012,0.0683890577507603,0.264459691302135
1993-11-01,0.518833535844471,0.385232744783307,0.228346456692916,0.0455927051671728,0.294501360621967
1993-12-01,0.520048602673149,0.332263242375603,0.267716535433071,0.0623100303951363,0.29558460271924
1994-01-01,0.967193195625758,0.367576243980739,0.425196850393702,0.0927051671732522,0.463167864293363
1994-02-01,0.957472660996356,0.391653290529694,0.559055118110238,0.126139817629179,0.508580221816367
1994-03-01,0.955042527339003,0.295345104333869,0.566929133858273,0.136778115501521,0.488523720258166
1994-04-01,0.95868772782503,0.272873194221509,0.574803149606298,0.171732522796354,0.494524148612298
1994-05-01,0.968408262454436,0.354735152487963,0.622047244094488,0.212765957446809,0.539489154120924
1994-06-01,0.634264884568653,0.47191011235955,0.535433070866143,0.226443768996962,0.467012959197827
1994-07-01,0.488456865127581,0.375601926163724,0.472440944881893,0.241641337386019,0.394535268389804
1994-08-01,0.37667071688943,0.327447833065811,0.401574803149607,0.240121580547112,0.33645373341299
1994-09-01,0.37910085054678,0.483948635634029,0.362204724409452,0.238601823708208,0.365964008574617
1994-10-01,0.196840826245444,0.45585874799358,0.338582677165357,0.227963525835866,0.304811444310062
