"","D","Lad_2","Lad_3","Lad_31","Lad_mean"
"1",1990-01-01,0.665836963285625,0.202020202020204,0.461538461538469,0.563687712412047
"2",1990-02-01,0.835096453018046,0.250841750841751,0.573076923076928,0.704086688047487
"3",1990-03-01,0.535780958307406,0.202020202020204,0.461538461538469,0.498659709922938
"4",1990-04-01,0.302426882389547,0.139730639730641,0.319230769230775,0.310828825810161
"5",1990-05-01,0.24051026757934,NA,NA,0.24051026757934
"6",1990-06-01,0.167081518357188,0.0925925925925941,0.211538461538466,0.189309989947827
"7",1990-07-01,0.146546359676416,0.067340067340068,0.153846153846156,0.150196256761286
"8",1990-08-01,0.0793403858120726,0.021885521885521,0.0499999999999984,0.0646701929060355
"9",1990-09-01,0.0432482887367762,0,0,0.0216241443683881
"10",1990-10-01,0.0902302426882392,0.0151515151515157,0.034615384615386,0.0624228136518126
"11",1990-11-01,0.502177971375233,0.0841750841750838,0.192307692307693,0.347242831841463
"12",1990-12-01,0.787492221530803,0.141414141414141,0.323076923076925,0.555284572303864
"13",1991-01-01,0.743932794026137,0.232323232323231,0.53076923076923,0.637351012397684
"14",1991-02-01,0.391412570006222,0.171717171717173,0.392307692307697,0.39186013115696
"15",1991-03-01,0.630678282514001,0.247474747474746,0.565384615384616,0.598031448949309
"16",1991-04-01,0.61014312383323,0.196969696969699,0.450000000000007,0.530071561916619
"17",1991-05-01,0.446172993154947,0.205387205387204,0.46923076923077,0.457701881192858
"18",1991-06-01,0.264467952706907,0.153198653198652,0.349999999999999,0.307233976353453
"19",1991-07-01,0.298693217174861,0.127946127946131,0.2923076923077,0.295500454741281
"20",1991-08-01,0.211885500933416,0.0774410774410784,0.17692307692308,0.194404288928248
"21",1991-09-01,0.11636589919104,0.0336700336700364,0.0769230769230836,0.0966444880570616
"22",1991-10-01,0.0709396390790293,0.0387205387205416,0.0884615384615457,0.0797005887702875
"23",1991-11-01,0.621655258245178,0.0690235690235681,0.157692307692307,0.389673782968742
"24",1991-12-01,0.406969508400746,0.191919191919194,0.438461538461545,0.422715523431146
"25",1992-01-01,0.756689483509645,0.203703703703704,0.465384615384619,0.611037049447132
"26",1992-02-01,0.587741132545115,0.183501683501683,0.419230769230771,0.503485950887943
"27",1992-03-01,0.488487865588052,0.171717171717173,0.392307692307697,0.440397778947875
"28",1992-04-01,0.605476042314872,0.21885521885522,0.500000000000005,0.552738021157439
"29",1992-05-01,0.453018046048538,0.181818181818183,0.415384615384621,0.43420133071658
"30",1992-06-01,0.295892968263846,0.143097643097642,0.326923076923075,0.31140802259346
"31",1992-07-01,0.22059738643435,0.138047138047141,0.315384615384624,0.267991000909487
"32",1992-08-01,0.152457996266335,0.106060606060605,0.242307692307691,0.197382844287013
"33",1992-09-01,NA,0.12121212121212,0.276923076923077,0.276923076923077
"34",1992-10-01,0.533914125700063,0.141414141414141,0.323076923076925,0.428495524388494
"35",1992-11-01,0.64872433105165,0.196969696969699,0.450000000000007,0.549362165525829
"36",1992-12-01,0.759489732420661,0.242424242424241,0.553846153846154,0.656667943133407
"37",1993-01-01,0.483820784069696,0.215488215488215,0.492307692307694,0.488064238188695
"38",1993-02-01,0.638145612943373,0.240740740740741,0.550000000000004,0.594072806471688
"39",1993-03-01,0.374922215308028,0.188552188552188,0.430769230769233,0.402845723038631
"40",1993-04-01,0.274735532047293,0.163299663299662,0.373076923076923,0.323906227562108
"41",1993-05-01,0.523024268823896,0.200336700336699,0.457692307692308,0.490358288258102
"42",1993-06-01,0.434971997510891,0.21043771043771,0.480769230769232,0.457870614140061
"43",1993-07-01,0.3627878033603,0.166666666666667,0.380769230769235,0.371778517064767
"44",1993-08-01,0.556627255756067,0.212121212121214,0.484615384615393,0.52062132018573
"45",1993-09-01,0.773802115743622,0.185185185185183,0.423076923076922,0.598439519410272
"46",1993-10-01,0.795892968263845,0.255892255892257,0.58461538461539,0.690254176439618
"47",1993-11-01,0.388301182327319,0.208754208754209,0.476923076923081,0.4326121296252
"48",1993-12-01,0.951462352209085,0.249158249158251,0.569230769230777,0.760346560719931
