"D","Coven Lane 1048GW","Podmore 1022GW","Woolgarston 1009GW","Brocton Park Farm 1026GW","Broughton Hall 1032GW","Bishops Offley 1030GW","Stafford Lodge 1031GW","Stabhill 1029GW","Little Grange Farm 1035GW","Codsall 1025GW","Shelton under Harley 1043GW","Wing House 1044GW","Squirrels Leap 1063GW","Brocton Nature Reserve 1045GW","Sherbrooke Valley 1047GW","Four Crosses 1007GW","Cat and Kittens Lane 1050GW","comp"
1990-01-01,0.152439024390244,0.510328068043743,0.89119170984456,0.450184501845018,0.481540930979133,0.393700787401572,0.49079754601227,0.532857142857143,0.65564738292011,0.282758620689655,0.472644376899696,0.134438305709025,0.852380952380952,0.37190082644628,0.462365591397848,0.446280991735539,0.190311418685121,0.457162834013995
1990-02-01,0.161585365853659,0.761846901579586,0.898100172711573,0.450184501845018,0.50561797752809,0.488188976377952,0.512269938650309,0.5,0.672176308539945,0.427586206896548,0.484802431610942,0.11694290976059,0.845238095238095,0.46005509641873,0.464157706093192,0.561983471074383,0.321799307958476,0.507796198125711
1990-03-01,0.256097560975611,0.752126366950183,0.968911917098447,0.507380073800738,0.542536115569825,0.535433070866143,0.530674846625765,0.507142857142859,0.735537190082642,0.400000000000002,0.425531914893617,0.130755064456722,0.845238095238095,0.49035812672176,0.455197132616487,0.677685950413227,0.304498269896194,0.533241444314607
1990-04-01,0.243902439024389,0.601458080194411,0.972366148531952,0.544280442804428,0.540930979133227,0.527559055118107,0.512269938650309,0.49857142857143,0.570247933884296,0.317241379310343,0.48936170212766,0.132596685082873,0.83095238095238,0.465564738292011,0.446236559139783,0.702479338842974,0.269896193771623,0.509759730790129
1990-05-01,0.225609756097564,0.53827460510328,0.873920552677031,0.529520295202953,0.409309791332263,0.480314960629917,0.515337423312883,0.481428571428572,0.545454545454543,0.255172413793099,0.463525835866261,NA,0.821428571428572,0.443526170798898,0.442652329749105,0.690082644628098,0.245674740484428,0.497577075499217
1990-06-01,0.210365853658536,0.386391251518834,0.844559585492229,0.568265682656826,0.357945425361156,0.433070866141738,0.506134969325152,0.481428571428572,0.440771349862258,0.213793103448279,0.452887537993922,0.148250460405156,0.785714285714285,0.410468319559228,0.430107526881718,0.590909090909091,0.221453287197228,0.440148068679659
1990-07-01,0.109756097560975,0.291616038882139,0.944732297063904,0.55350553505535,0.264847512038524,NA,0.460122699386504,0.461428571428572,0.845730027548209,0.144827586206893,0.420972644376901,0.141804788213629,0.795238095238093,0.37465564738292,0.419354838709679,NA,0.141868512110726,0.424697392746868
1990-08-01,0.121951219512197,0.218712029161603,0.880829015544042,0.527675276752767,0.377207062600322,0.314960629921262,0.460122699386504,0.454285714285715,0.341597796143246,0.0965517241379322,0.39209726443769,0.140883977900553,0.778571428571428,0.327823691460055,0.40143369175627,0.425619834710746,0.117647058823526,0.375174712653286
1990-09-01,0.134146341463414,0.161603888213851,0.870466321243523,NA,0.383627608346709,0.291338582677167,0.450920245398774,0.46,0.327823691460055,0.117241379310347,0.376899696048633,0.139963167587478,0.76904761904762,0.308539944903579,0.388888888888888,0.351239669421487,0.128027681660897,0.353735920354526
1990-10-01,0.106707317073173,0.0972053462940458,1,0.464944649446494,0.335473515248796,0.283464566929131,0.429447852760735,0.441428571428572,0.300275482093665,0.0896551724137907,0.340425531914895,0.127992633517495,0.749999999999998,0.272727272727272,0.378136200716844,0.293388429752065,0.0865051903114191,0.341045748978141
